,Bourg-en-Bresse,Laon,Moulins,Digne-les-Bains,Gap,Nice,Privas,Charleville-Mézières,Foix,Troyes,Carcassonne,Rodez,Marseille,Caen,Aurillac,Angoulême,La Rochelle,Bourges,Tulle,Ajaccio,Bastia,Dijon,Saint-Brieuc,Guéret,Périgueux,Besançon,Valence,Évreux,Chartres,Quimper,Nîmes,Toulouse,Auch,Bordeaux,Montpellier,Rennes,Châteauroux,Tours,Grenoble,Lons-le-Saunier,Mont-de-Marsan,Blois,Saint-Étienne,Le Puy-en-Velay,Nantes,Orléans,Cahors,Agen,Mende,Angers,Saint-Lô,Châlons-en-Champagne,Chaumont,Laval,Nancy,Bar-le-Duc,Vannes,Metz,Nevers,Lille,Beauvais,Alençon,Arras,Clermont-Ferrand,Pau,Tarbes,Perpignan,Strasbourg,Colmar,Lyon,Vesoul,Mâcon,Le Mans,Chambéry,Annecy,Paris,Rouen,Melun,Versailles,Niort,Amiens,Albi,Montauban,Toulon,Avignon,La Roche-sur-Yon,Poitiers,Limoges,Épinal,Auxerre,Belfort,Évry,Nanterre,Bobigny,Créteil,Cergy
Bourg-en-Bresse,0.0,509.72466233440775,195.77336238547673,322.35588021886974,253.23742360662948,418.0566818581325,221.76517000177503,517.8214651961459,598.5161643199273,322.79674648059364,523.7068732407987,380.2745902557082,420.62512900033835,693.7044922595705,336.7033393118078,515.4575661490932,637.9949446701697,307.69563123384887,374.1767384282537,718.8558327463562,668.5403118830858,162.4909435715641,850.0662612639964,335.7580326126709,478.03076561521794,169.01534447152048,186.9340285465791,569.0515468961296,488.52700587837796,952.4339621728751,353.5228433034533,539.5318800788631,601.7066658503181,619.9795649030648,399.5453497131524,732.1896657390316,362.4053620274937,480.54849087988214,155.4034789349184,75.30145130034457,673.4417252256512,432.84994192970856,139.23598094483447,215.78444961115602,687.440915501078,408.3876103340886,460.7888649802185,551.3276764511464,300.2583607636553,599.584055355162,744.6469751210486,406.54610089637345,275.64876291683254,647.9799871276942,371.5181978837802,370.97884497148976,815.2972782655893,431.274525865456,234.13261942433422,672.4019676377385,557.0775387434651,596.7795514469988,635.7894083037145,223.4503388896868,711.6542781141278,680.9722796709243,560.9639346307277,422.2397509286343,342.5590084752601,74.8218645929453,224.43139689245436,42.33085510039904,558.6745913017998,115.96598180319037,100.90156276030984,474.94456543105724,615.7972520511854,420.6372574331693,482.08407761211566,568.6639177466135,603.4559576456393,454.9338796358917,505.6733347563314,451.1907017243589,328.9042405081891,665.8600169049311,489.9646569247269,401.38381814713034,308.9707118896638,282.0289520386895,262.84489084301697,443.70528284024897,487.3893757216401,474.98186931291224,461.2495175082484,512.3149127354012
Laon,509.72466233440775,0.0,434.13725807744765,831.9751298659329,762.6993726509061,921.3278721874759,704.582049719008,106.45630803650904,975.0561621529098,188.06824572837465,926.7814479949312,760.8972628371106,922.3966768379,379.8914010666223,680.3416394365637,658.6816994297399,675.4405366683378,377.7323236344587,647.0785632647467,1218.89691020051,1150.6961829524591,351.4042202788584,623.9520269936424,519.0872368866623,693.8621658792664,407.5101519011401,680.8644234703829,245.7037666717131,259.2135299102355,769.1815969122329,831.0559828482077,888.2407355856768,906.9125429644811,797.8909435383415,860.8931432584283,545.832409425925,439.4031120148381,421.234092073242,665.0584092166453,457.3568691560536,916.0086975711374,360.019456591244,600.9119143165302,654.0262633953145,601.4889501068316,290.5949941914765,770.1165677363458,829.8052619445912,729.5194661113064,501.2183262099007,448.6168410139009,112.18490457769154,254.72864516322304,470.6006020195786,272.97713555384564,184.97095832728385,669.1821623100469,248.80191378263993,374.7127250005846,162.679180221444,146.1523992826961,372.8009844717204,131.3063775771531,549.9103350605648,989.3666344166386,980.7788213458763,995.167238984262,416.294421378618,415.1113211214775,561.79179120424,370.51739094417553,485.017368863111,396.17738254115847,619.9208826459615,583.0064850697705,157.78165827476116,237.66337316971246,173.92532514200244,178.86732554346696,613.0363558231658,132.46702210529722,827.6723796699717,832.4456153335317,958.7697521839086,820.036479221405,642.0982333102786,535.3089349734396,586.1677350460781,335.4114267996431,255.32804822204858,416.39106106869684,175.5104351142969,165.38809076931443,145.95998545266283,157.22670660951474,166.00826711270608
Moulins,195.77336238547673,434.13725807744765,0.0,463.6494338486406,401.8047448512322,576.7258356972045,294.0911155825972,481.9364107263558,550.1552347376978,260.35998651179966,495.18302834910844,329.69842970935986,516.5673041941382,521.3252351009442,253.59301454660758,344.48181329220597,451.08471433006594,118.55198744829754,245.10974845293492,874.0391126853164,841.5068948813997,200.79874838174402,658.0091508957973,156.74787095573024,330.22695967001766,282.904487307922,283.7456526339942,413.898929748288,325.61753587991376,756.9889414033895,408.2491276639539,469.66644426249167,506.7131178478888,467.2874234643825,430.88886572843745,539.333192582265,166.68704832106337,286.83187622992403,312.44224188496264,221.0427942927419,549.4357667473213,245.64082478963755,194.38659205363004,227.2118952538548,491.75358381453447,238.26778015157356,361.3083433335682,439.107201931959,296.6722979735993,404.4070068686285,565.4445235126014,359.7329080242603,284.78429826856654,456.93668573975623,414.0610075092481,364.84778409180467,619.6281296395113,460.54361013639897,63.41970819178264,587.7680571650919,431.1948363258322,415.44402141345336,540.9389700754174,116.8220750084749,605.9186873410997,585.8413209192174,561.0789240248016,519.3180286276971,450.82945045166883,189.95602331356562,316.71840447410193,153.59738697361726,371.0378324453881,297.0305255533166,295.7625198905368,344.5234553556923,468.4768146186274,292.66089191931474,343.8930803834272,379.786079979231,491.1975476896308,400.0729997704542,419.76025281204323,564.2238347461617,407.02121579119284,472.7688182389779,297.4011377593957,232.78233942694172,383.3807343827546,179.50068082007832,380.3210401734085,310.48632246044303,353.4889346301602,348.8074245587097,332.50406918677544,377.6854771193068
Digne-les-Bains,322.35588021886974,831.9751298659329,463.6494338486406,0.0,69.43139604243416,121.51765547012977,192.89439127009163,834.4696247959678,511.9308097674505,645.1254773011863,425.8864868733441,381.04746714457673,146.28210249442037,984.8784312616141,409.02771600084725,661.7363321113403,810.1417494894663,580.677211997513,489.5628035050878,410.59263126145083,393.1900096082742,482.222556069377,1101.8111179284197,537.0506058740989,588.6817747743006,455.2691279861537,184.31193476267862,873.8299037137411,787.5585624494269,1179.0218545338116,198.6344584055709,504.44323273847965,592.2000886054589,711.0698296110374,255.53953669338927,982.797604206114,605.6199929026466,735.1738669364051,166.9527629406626,379.60164691702806,700.9491549570316,705.8412370783819,271.87662419756157,278.4027569256298,906.9679368693031,701.2797246878787,498.91219492115556,583.0376945911961,289.63771454720097,840.1609313810427,1027.0942004168505,727.3940822751198,591.2564131236064,907.1840703712622,664.966744018673,684.7888362737569,1040.8868438172817,726.695330403724,521.7219114255095,994.650821687521,874.1410721776035,877.0286647888465,958.0362159884434,403.8872641516609,699.7967366196405,655.6547850731888,404.53093066617566,665.1449511290109,587.1923428857731,281.0126652032615,510.34090845776245,350.82280454847916,828.373811024222,215.26543081408613,261.43719263274835,789.6953098198121,925.2568491112173,735.2479838662468,794.195168991935,754.4489803539932,923.8552028949412,425.62815815019235,507.10962345685596,143.5931326320668,150.07297218988944,862.181512526078,698.4951747091322,567.4520087772507,590.4527694869925,598.7718677434582,516.4651308310838,757.0359820616317,801.1524512212274,791.0195499863221,776.3224011470145,826.1420412723006
Gap,253.23742360662948,762.6993726509061,401.8047448512322,69.43139604243416,0.0,175.03239962156678,154.3164311467325,765.192764239895,520.7911230372059,576.0325969106423,434.5302575349798,362.8013419634768,196.79187822140398,922.8981994013991,376.935432231214,623.9920546440103,769.6374372168494,519.8364790770102,452.96696221858184,473.2705580845276,443.61951794815155,412.79549546442917,1047.9004688428533,486.76560192786155,556.170668538531,387.29859987324335,133.31761391594532,808.9452335513034,723.5775620612188,1130.3771119065575,206.46327718427847,500.62457891287437,585.1408852976286,685.1129612886441,266.54996030772804,928.6414872797499,549.7886933563102,678.7992040910509,97.92683775694724,310.30269629725825,688.1433867486411,646.0735377812779,214.68606659566086,235.65290280225983,858.3064922561715,638.0821006507064,478.3673715056316,566.6331679131674,265.78182628505107,787.0959644371837,966.9304777324606,657.9680782609314,521.9433960734631,851.047927297003,597.530801875995,615.6338943656391,991.8427794265081,659.2340531152588,458.10763256074864,925.3672163995589,806.6704217494749,816.8290903310541,889.0197053582143,352.07402053666794,695.6153451278512,653.6416981499474,428.06184527495833,603.548884912075,524.5843201522979,215.44313839957388,442.83146111978294,282.74617174712756,769.9082555676536,146.20340070127452,193.76868933117476,722.6681382882718,859.4954841979139,668.1854479787808,727.7192833950033,710.7029390266283,855.5462621614887,417.12480309668257,494.96421525520554,208.0308714163839,158.5756851255369,817.5794868030874,649.8704376482631,523.9965395312461,523.8611061526335,531.0911807947608,451.97538988320804,690.2620629240639,734.3455650314944,723.7175846946424,709.2127129689972,759.3495616210633
Nice,418.0566818581325,921.3278721874759,576.7258356972045,121.51765547012977,175.03239962156678,0.0,314.3692734682314,913.1327671044384,604.7491558447384,737.7005075243753,520.854135605331,496.6566620960571,207.36574790898476,1097.58750303698,529.3973718913202,782.7949171043759,931.4942906595188,694.8466147189858,610.6191749888632,300.9556278831519,271.8143360852487,570.0423141203208,1221.2492553572924,657.5748455290044,708.6794115009797,526.7295739015028,303.5516736584271,981.8114114056125,897.319250453785,1300.1559541746833,304.1898706994338,609.1715837001574,698.4881633762512,828.3843022766904,354.8563621674235,1102.0898145753968,723.8530066318823,853.1344063832105,267.67576396088594,463.9834586834153,810.693288710999,821.1013066462414,388.8159204628442,399.80655874442726,1028.049090009001,812.379185080071,614.5971094349405,695.8744440777691,408.52792513422077,959.903367381492,1141.9517720179579,813.129958072546,672.5540267812156,1025.3498990159007,729.6957076734752,762.6490754145667,1161.9215812643606,790.8368774387839,632.362604273616,1083.2956007156015,975.0692561017062,991.8541181687765,1050.091609886389,523.761824724732,802.7695250850251,757.102542866261,482.8691131330274,706.0718263205056,633.0648690498348,389.11595445628603,577.9844583276356,451.84519467091246,944.820166759542,303.11862777228134,338.6528218496053,892.3384072464353,1031.2293323472331,837.8980027666565,898.4858692589942,875.965842579735,1020.9414522702469,534.9896306690831,617.8896711262839,163.49691645594896,259.2630573273723,983.6874040717885,819.5159909714351,688.9636627959384,651.9414521605794,699.6854194886844,570.7106681556724,860.5348283697192,904.4638098840369,892.735224867555,878.7246733361324,929.4510471031141
Privas,221.76517000177503,704.582049719008,294.0911155825972,192.89439127009163,154.3164311467325,314.3692734682314,0.0,728.0621975784344,403.62567403289825,517.537925860786,321.20910332777163,215.8593281002391,222.78181434355642,808.171335264624,222.63538455672918,471.077953831307,618.2651292414821,404.8921433065451,299.3914809727107,595.780142897178,586.0818139604379,376.5802289936064,911.9411576461915,345.89714684862474,401.9028002028339,389.0797292228459,41.48890087901798,707.6222113496415,618.6659363893566,986.4103176579633,132.14396956432262,365.6712236285568,444.6733269482526,531.355541271532,178.89093599927637,793.3193397546651,419.5649758400333,548.9857127669362,132.39473538159433,296.39971919888103,541.2688238864797,525.8054511114013,104.04030243580033,85.61009902946353,714.4624442148663,530.6786602524651,327.70273386907485,417.96651172930825,117.33359793882924,650.037401330835,845.9715706382018,610.7427906681585,490.9667631654989,719.9877323509666,593.1416423092932,586.0532664664071,848.4227666670608,652.5245395124263,356.5662654384655,865.060626515851,722.4113376025207,696.6742899003801,822.5138663596206,215.30538979712475,556.80448408364,517.8398336285363,344.0184340881332,636.7884959711273,556.0473437607144,150.67197685541888,445.37944731629887,228.41852727532478,644.9354905642836,180.1129759681136,229.11623571248384,635.9483533909103,762.5635586030766,582.6704460601499,636.8743254354478,561.6709527822559,779.0239699893029,278.97757414553803,350.8036982550829,270.8668281889686,115.61678910360637,669.3319990354072,506.1475844057048,374.6343485157097,530.1185616117388,454.4717041928457,476.89340285582483,602.1357116676699,645.7737381635706,639.2040430242361,623.3594884529648,670.3197528965206
Charleville-Mézières,517.8214651961459,106.45630803650904,481.9364107263558,834.4696247959678,765.192764239895,913.1327671044384,728.0621975784344,0.0,1031.5049416333864,221.5863437121121,976.6745567243536,811.5385907859048,938.0866446759275,485.1014989519715,734.7688900903249,742.1564904720932,770.897044861883,447.8323378449429,711.6964516535237,1204.665940710744,1126.2473144057044,355.37432687365174,730.0489625825142,588.6827552752562,769.1545696046239,386.97534501549205,699.5621389513113,352.15395297515187,360.574685365453,875.5458231129155,858.501194291282,948.4272568008921,975.0720624053395,881.4870632031331,894.3114212510577,652.0954005344851,517.3790063623175,515.9687955107933,669.7508404067843,454.8905430498424,993.8190907835458,451.3964675651218,627.0248506576665,688.2553407022691,704.6008986361336,379.84584662330246,833.9862781024136,900.3722806290581,768.6648026050373,602.9701046705555,553.7020863625396,122.21786680842422,243.29573966898158,576.0094756538226,208.62892503424624,150.49663618096278,775.268548721578,166.46398818583825,428.73871430530204,197.34220325547463,251.7244761629668,478.45034228032836,195.01777964020746,598.6034741285112,1063.4240900980392,1051.2381183968187,1038.4092381185808,335.0967994579152,350.3713064026413,579.3414594717284,339.5791820136368,500.85051341100416,499.1342576601019,619.2685633660185,576.2309733246954,259.0703768393967,342.0877828000221,263.5066333251987,281.02982643403175,705.9774699294859,225.78314453774033,881.8143456165972,895.2000385213781,968.3644866675198,841.6379205000869,741.8769853363372,624.8542389822237,660.5269505381901,283.4143124375067,305.2657557497034,370.1782987247239,270.9524928589331,268.4073113867247,247.2661784487219,256.04723888375963,271.47011783634423
Foix,598.5161643199273,975.0561621529098,550.1552347376978,511.9308097674505,520.7911230372059,604.7491558447384,403.62567403289825,1031.5049416333864,0.0,810.1794735617653,86.3964775582934,224.43708005011675,400.0597335629187,920.4478754778995,296.7479831880429,416.0301366176156,542.1429023533966,600.6217740270048,333.3362405047118,775.511453361703,832.248505205138,720.6464079731026,915.0606896968472,464.3851785263053,333.7767212755885,764.576051122822,444.94709117925566,877.6089036651168,792.2400292930444,928.4819560911602,315.65253775420865,94.05273803294061,145.63186602025152,353.7074756356134,256.7004831903301,815.4432953937353,556.1657473499616,647.1250641717803,534.981199942014,671.7973053362358,258.35352917021186,668.685634912714,459.4094803875743,382.74077050077034,694.1657440829447,714.4698179814811,215.20086354339747,206.88206234419712,299.3620647891383,687.4222396419661,929.3375513627277,909.4555442333024,825.3628273376919,776.1992139298658,947.3765947099854,912.2460686134483,810.4429541246656,1000.5324688816272,603.3498034696032,1117.2206938265936,935.8907641137486,804.6959732106609,1065.4881147754036,434.4877468035602,213.7735805613259,165.79675591064088,142.15633575616098,1019.8631302040639,940.8115269636405,524.5414140874443,816.596171521722,585.9157799274586,742.7233796078095,583.4562797052118,630.7417595659273,855.1401410000502,937.9237222235046,813.0018157767032,845.8384063223594,530.21865228846,1004.2921634203256,150.55100092335766,154.59856570125064,457.2336531168554,364.7842734572761,619.2798917899706,538.5637751024199,416.233356296673,898.1781438572159,726.7121253135734,861.2025466128216,823.2045393987627,859.0337886490282,863.1222522365389,846.4869545865193,878.9131259239194
Troyes,322.79674648059364,188.06824572837465,260.35998651179966,645.1254773011863,576.0325969106423,737.7005075243753,517.537925860786,221.5863437121121,810.1794735617653,0.0,755.1683961173148,589.9573579462862,734.4442254001226,442.50452828085764,513.4356318152695,543.4127775438063,598.5466320086787,239.70276140730752,493.8510920936533,1037.0276053234406,975.1558834614949,169.3399673610702,656.8174378887431,375.7884190794578,559.1863748564704,243.56447509199302,493.0064019911962,298.3403058524207,249.1296459794914,788.9206668725867,645.3454917216918,727.950537056792,757.9640809462943,680.8058684861502,677.6667792186668,554.5116313112663,316.57062632319986,353.34649545974446,478.1854344056036,275.5668095327861,784.5864416957937,284.337144036865,414.28958803474853,470.7504401504268,568.5774288721342,216.6565151504375,615.1514912470175,685.1843372839273,549.2512552096451,463.90334388909565,506.5261078907024,99.37386963353995,106.06770016694814,467.9413312734163,210.02850739233656,124.50004399268046,667.4980436571898,233.06127754771404,208.72326514759882,350.36927119690233,250.47063095892125,382.78202688755323,313.0530176802759,377.0203091300228,850.1953867758772,835.3176566837963,818.0808517627952,354.9592303879309,318.02657374960944,373.74713302356133,223.7327395207659,297.0012051146523,375.91158279562455,434.9494750785954,401.27698968954695,183.5888487287545,327.7740886820121,140.12803156346695,199.9281001942625,528.2241687978618,285.448142817518,660.3289935277521,675.6956908488826,770.7725250595277,632.7748810950868,586.4244013784478,441.3830428568683,451.07455137160235,229.35275365351407,86.87328376260797,286.32312712038976,163.71764688436355,198.21542229004865,178.37639947619826,170.54002840464048,219.94668500238896
