,Bourg-en-Bresse,Laon,Moulins,Digne-les-Bains,Gap,Nice,Privas,Charleville-Mézières,Foix,Troyes,Carcassonne,Rodez,Marseille,Caen,Aurillac,Angoulême,La Rochelle,Bourges,Tulle,Ajaccio,Bastia,Dijon,Saint-Brieuc,Guéret,Périgueux,Besançon,Valence,Évreux,Chartres,Quimper,Nîmes,Toulouse,Auch,Bordeaux,Montpellier,Rennes,Châteauroux,Tours,Grenoble,Lons-le-Saunier,Mont-de-Marsan,Blois,Saint-Étienne,Le Puy-en-Velay,Nantes,Orléans,Cahors,Agen,Mende,Angers,Saint-Lô,Châlons-en-Champagne,Chaumont,Laval,Nancy,Bar-le-Duc,Vannes,Metz,Nevers,Lille,Beauvais,Alençon,Arras,Clermont-Ferrand,Pau,Tarbes,Perpignan,Strasbourg,Colmar,Lyon,Vesoul,Mâcon,Le Mans,Chambéry,Annecy,Paris,Rouen,Melun,Versailles,Niort,Amiens,Albi,Montauban,Toulon,Avignon,La Roche-sur-Yon,Poitiers,Limoges,Épinal,Auxerre,Belfort,Évry,Nanterre,Bobigny,Créteil,Cergy
Bourg-en-Bresse,0.0,5.6636073592711975,2.1752595820608525,3.581732002431886,2.813749151184772,4.645074242868139,2.464057444464167,5.753571835512733,6.650179603554747,3.5866305164510406,5.8189652582310964,4.225273225063424,4.673612544448204,7.707827691773006,3.741148214575642,5.72730629054548,7.088832718557441,3.418840347042765,4.157519315869486,7.987287030515069,7.428225687589842,1.8054549285729342,9.44518068071107,3.7306448068074545,5.3114529512802,1.8779482719057832,2.0770447616286565,6.322794965512551,5.428077843093089,10.582599579698613,3.9280315922605924,5.9947986675429235,6.68562962055909,6.888661832256275,4.439392774590583,8.135440730433684,4.02672624474993,5.339427676443135,1.7267053214990935,0.8366827922260508,7.482685835840569,4.809443799218984,1.5470664549426052,2.397604995679511,7.6382323944564225,4.537640114823207,5.119876277557983,6.1258630716794045,3.336204008485059,6.662045059501801,8.273855279122763,4.517178898848594,3.0627640324092504,7.1997776347521585,4.127979976486447,4.121987166349887,9.058858647395436,4.7919391762828445,2.601473549159269,7.47113297375265,6.189750430482945,6.630883904966653,7.064326758930161,2.482781543218742,7.907269756823642,7.56635866301027,6.232932607008086,4.691552788095937,3.806211205280668,0.8313540510327256,2.4936821876939375,0.47034283444887826,6.207495458908886,1.2885109089243374,1.1211284751145538,5.277161838122859,6.842191689457616,4.673747304812992,5.3564897512457295,6.318487974962372,6.705066196062659,5.054820884843241,5.618592608403683,5.013230019159543,3.654491561202101,7.398444632277012,5.444051743608076,4.459820201634781,3.4330079098851534,3.1336550226521056,2.920498787144633,4.930058698224989,5.415437508018223,5.277576325699025,5.124994638980538,5.692387919282235
Laon,5.6636073592711975,0.0,4.8237473119716405,9.244168109621477,8.474437473898956,10.236976357638621,7.828689441322311,1.1828478670723226,10.833957357254553,2.0896471747597185,10.297571644388125,8.45441403152345,10.248851964865556,4.221015567406914,7.559351549295152,7.318685549219332,7.50489485187042,4.197025818160652,7.189761814052741,13.54329900222789,12.785513143916212,3.9044913364317604,6.932800299929361,5.767635965407359,7.709579620880738,4.527890576679335,7.565160260782032,2.7300418519079233,2.88015033233595,8.546462187913699,9.233955364980085,9.86934150650752,10.076806032938679,8.865454928203794,9.565479369538092,6.0648045491769444,4.882256800164868,4.680378800813799,7.389537880184947,5.081742990622818,10.177874417457083,4.000216184347156,6.676799047961447,7.2669584821701605,6.683210556742573,3.228833268794183,8.556850752626065,9.220058466051013,8.105771845681183,5.569092513443341,4.984631566821121,1.2464989397521282,2.830318279591367,5.228895577995318,3.033079283931618,2.0552328703031537,7.4353573590005215,2.764465708695999,4.163474722228718,1.8075464469049334,1.6239155475855123,4.142233160796893,1.458959750857257,6.110114834006275,10.992962604629318,10.897542459398625,11.0574137664918,4.625493570873533,4.612348012460861,6.242131013380444,4.116859899379728,5.389081876256789,4.401970917123983,6.888009807177349,6.477849834108562,1.7531295363862351,2.6407041463301386,1.932503612688916,1.987414728260744,6.811515064701842,1.4718558011699692,9.196359774110798,9.24939572592813,10.652997246487873,9.111516435793389,7.134424814558651,5.94787705526044,6.512974833845312,3.7267936311071455,2.8369783135783178,4.626567345207743,1.9501159457144102,1.8376454529923825,1.6217776161406983,1.746963406772386,1.8445363012522897
Moulins,2.1752595820608525,4.8237473119716405,0.0,5.151660376096007,4.464497165013691,6.40806484108005,3.2676790620288574,5.35484900807062,6.112835941529975,2.8928887390199964,5.502033648323427,3.663315885659554,5.739636713268202,5.792502612232713,2.817700161628973,3.827575703246733,5.012052381445177,1.3172443049810838,2.7234416494770546,9.711545696503515,9.35007660979333,2.2310972042416,7.3112127877310815,1.7416430106192249,3.6691884407779742,3.1433831923102447,3.1527294737110467,4.598876997203201,3.617972620887931,8.410988237815438,4.536101418488377,5.218516047361018,5.630145753865431,5.192082482937583,4.787654063649305,5.992591028691834,1.8520783146784818,3.187020846999156,3.471580465388474,2.456031047697132,6.104841852748014,2.7293424976626395,2.1598510228181116,2.5245766139317203,5.463928709050383,2.6474197794619285,4.014537148150757,4.8789689103551,3.2963588663733256,4.4934111874292055,6.282716927917794,3.9970323113806705,3.1642699807618504,5.077074285997291,4.6006778612138675,4.053864267686719,6.88475699599457,5.117151223737766,0.7046634243531404,6.530756190723244,4.791053736953692,4.616044682371704,6.010433000837971,1.298023055649721,6.732429859345553,6.509348010213527,6.23421026694224,5.770200318085523,5.009216116129654,2.1106224812618404,3.519093383045577,1.7066376330401918,4.1226425827265345,3.3003391728146285,3.2862502210059645,3.8280383928410258,5.205297940206971,3.251787687992386,3.8210342264825248,4.219845333102566,5.457750529884787,4.445255553005047,4.664002809022703,6.269153719401797,4.522457953235476,5.252986869321976,3.3044570862155074,2.5864704380771304,4.259785937586162,1.9944520091119813,4.225789335260094,3.449848027338256,3.9276548292240023,3.8756380506523302,3.694489657630838,4.196505301325631
Digne-les-Bains,3.581732002431886,9.244168109621477,5.151660376096007,0.0,0.7714599560270462,1.3501961718903308,2.143271014112129,9.271884719955198,5.688120108527228,7.16806085890207,4.73207207637049,4.233860746050852,1.6253566943824487,10.943093680684601,4.544752400009414,7.352625912348225,9.001574994327402,6.451969022194589,5.439586705612086,4.5621403473494535,4.36877788453638,5.358028400770856,12.242345754760219,5.9672289541566546,6.54090860860334,5.058545866512819,2.0479103862519845,9.709221152374901,8.750650693882521,13.100242828153462,2.207049537839677,5.60492480820533,6.580000984505099,7.900775884567083,2.839328185482103,10.919973380067933,6.7291110322516285,8.168598521515612,1.8550306993406958,4.217796076855867,7.788323943967018,7.8426804119820215,3.0208513799729064,3.093363965840331,10.077421520770034,7.79199694097643,5.543468832457284,6.478196606568845,3.218196828302233,9.335121459789363,11.41215778240945,8.082156469723554,6.569515701373405,10.079823004125135,7.388519377985256,7.608764847486189,11.565409375747574,8.074392560041378,5.796910126950105,11.051675796528011,9.71267857975115,9.744762942098294,10.644846844316037,4.487636268351787,7.775519295773782,7.285053167479876,4.494788118513063,7.39049945698901,6.524359365397479,3.1223629467029057,5.670454538419583,3.8980311616497683,9.20415345582469,2.3918381201565126,2.904857695919426,8.774392331331246,10.280631656791304,8.169422042958299,8.824390766577055,8.382766448377701,10.26505780994379,4.729201757224359,5.634551371742844,1.595479251467409,1.6674774687765495,9.579794583623089,7.761057496768136,6.305022319747231,6.560586327633249,6.653020752705091,5.738501453678709,8.411510911795908,8.901693902458081,8.789106110959134,8.62580445718905,9.179356014136674
Gap,2.813749151184772,8.474437473898956,4.464497165013691,0.7714599560270462,0.0,1.944804440239631,1.7146270127414722,8.502141824887723,5.7865680337467325,6.400362187896025,4.828113972610887,4.031126021816409,2.1865764246822663,10.254424437793324,4.188171469235711,6.933245051600115,8.551527080187215,5.775960878633446,5.032966246873132,5.258561756494751,4.929105754979462,4.586616616271435,11.64333854269837,5.408506688087351,6.179674094872567,4.30331777636937,1.4813068212882814,8.98828037279226,8.039750689569098,12.559745687850638,2.2940364131586497,5.5624953212541595,6.501565392195873,7.61236623654049,2.9616662256414226,10.318238747552776,6.108763259514558,7.542213378789454,1.0880759750771916,3.4478077366362028,7.646037630540457,7.178594864236421,2.385400739951787,2.618365586691776,9.536738802846351,7.089801118341182,5.31519301672924,6.2959240879240825,2.953131403167234,8.745510715968708,10.743671974805117,7.31075642512146,5.799371067482923,9.45608808107781,6.6392311319555,6.840376604062657,11.0204753269612,7.324822812391765,5.09008480623054,10.281857959995099,8.963004686105277,9.075878781456156,9.877996726202381,3.911933561518533,7.729059390309458,7.262685534999416,4.756242725277315,6.706098721245278,5.828714668358866,2.3938126488841545,4.920349567997588,3.1416241305236396,8.554536172973929,1.6244822300141613,2.152985437013053,8.0296459809808,9.549949824421265,7.424282755319786,8.085769815500036,7.896699322518092,9.506069579572097,4.634720034407584,5.4996023917245065,2.3114541268487097,1.76195205695041,9.084216520034305,7.220782640536257,5.822183772569401,5.820678957251483,5.901013119941787,5.021948776480089,7.669578476934044,8.159395167016605,8.041306496607138,7.88014125521108,8.437217351345149
Nice,4.645074242868139,10.236976357638621,6.40806484108005,1.3501961718903308,1.944804440239631,0.0,3.492991927424794,10.14591963449376,6.719435064941538,8.196672305826393,5.787268173392566,5.518407356622857,2.3040638656553862,12.19541670041089,5.882193021014668,8.697721301159733,10.349936562883542,7.720517941322065,6.784657499876257,3.34395142092391,3.020159289836097,6.333803490225787,13.569436170636582,7.306387172544493,7.874215683344218,5.852550821127809,3.3727963739825233,10.909015682284583,9.970213893930945,14.446177268607592,3.3798874522159315,6.768573152223971,7.760979593069458,9.20427002529656,3.942848468526928,12.245442384171074,8.042811184798692,9.479271182035673,2.974175155120955,5.155371763149058,9.00770320789999,9.123347851624905,4.3201768940316025,4.442295097160303,11.422767666766678,9.026435389778566,6.828856771499339,7.731938267530768,4.539199168158008,10.665592970905466,12.688353022421754,9.034777311917177,7.4728225197912845,11.39277665573223,8.107730085260837,8.473878615717409,12.910239791826228,8.787076415986487,7.026251158595732,12.036617785728906,10.834102845574513,11.020601312986406,11.667684554293212,5.8195758302748,8.919661389833612,8.41225047629179,5.365212368144749,7.845242514672284,7.034054100553719,4.323510605069845,6.422049536973729,5.020502163010138,10.4980018528838,3.367984753025348,3.762809131662281,9.914871191627059,11.458103692747034,9.309977808518406,9.983176325099935,9.732953806441499,11.343793914113855,5.944329229656479,6.865440790292044,1.8166324050660996,2.8807006369708033,10.929860045242094,9.105733233015947,7.65515180884376,7.243793912895327,7.7742824387631595,6.3412296461741375,9.56149809299688,10.04959788760041,9.919280276306166,9.763607481512581,10.327233856701268
Privas,2.464057444464167,7.828689441322311,3.2676790620288574,2.143271014112129,1.7146270127414722,3.492991927424794,0.0,8.089579973093716,4.484729711476647,5.750421398453178,3.5689900369752405,2.398436978891546,2.4753534927061827,8.979681502940267,2.473726495074769,5.234199487014522,6.869612547127579,4.498801592294946,3.326572010807897,6.6197793655242005,6.512020155115977,4.1842247665956265,10.132679529402129,3.843301631651386,4.465586668920376,4.323108102476065,0.46098778754464426,7.862469014996017,6.87406595988174,10.960114640644036,1.4682663284924735,4.063013595872853,4.940814743869473,5.903950458572578,1.9876770666586263,8.81465933060739,4.661833064889259,6.099841252965958,1.4710526153510481,3.2933302133209,6.0140980431831075,5.842282790126681,1.1560033603977815,0.9512233225495947,7.938471602387404,5.896429558360723,3.6411414874341648,4.6440723525478695,1.3037066437647693,7.222637792564833,9.399684118202241,6.786031007423983,5.455186257394432,7.999863692788518,6.590462692325479,6.511702960737856,9.426919629634009,7.250272661249181,3.9618473937607277,9.611784739065012,8.026792640028008,7.740825443337557,9.13904295955134,2.3922821088569415,6.186716489818222,5.753775929205959,3.822427045423702,7.075427733012526,6.178303819563493,1.674133076171321,4.9486605257366545,2.5379836363924975,7.165949895158706,2.0012552885345958,2.5457359523609315,7.066092815454558,8.472928428923073,6.4741160673349984,7.076381393727197,6.240788364247288,8.655821888770033,3.099750823839311,3.897818869500921,3.0096314243218734,1.2846309900400708,7.437022211504525,5.623862048952275,4.162603872396774,5.89020624013043,5.0496856021427305,5.298815587286943,6.690396796307443,7.175263757373006,7.102267144713734,6.926216538366275,7.447997254405785
Charleville-Mézières,5.753571835512733,1.1828478670723226,5.35484900807062,9.271884719955198,8.502141824887723,10.14591963449376,8.089579973093716,0.0,11.461166018148738,2.4620704856901345,10.851939519159485,9.01709545317672,10.423184940843639,5.390016655021905,8.164098778781389,8.246183227467702,8.56552272068759,4.97591486494381,7.907738351705818,13.385177119008267,12.513859048952272,3.9486036319294637,8.111655139805713,6.540919503058403,8.546161884495822,4.29972605572769,7.77291265501457,3.9128216997239096,4.006385392949477,9.728286923476839,9.538902158792022,10.538080631121023,10.834134026725994,9.794300702257035,9.936793569456198,7.245504450383168,5.748655626247972,5.732986616786592,7.441676004519826,5.054339367220471,11.042434342039398,5.015516306279131,6.966942785085184,7.647281563358546,7.8288988737348175,4.220509406925583,9.266514201137928,10.004136451433979,8.54072002894486,6.69966782967284,6.152245404028218,1.3579762978713803,2.7032859963220175,6.400105285042473,2.31809916704718,1.672184846455142,8.614094985795312,1.849599868731536,4.763763492281134,2.1926911472830515,2.7969386240329643,5.316114914225871,2.1668642182245272,6.651149712539013,11.815823223311547,11.68042353774243,11.537880423539786,3.7232977717546136,3.8930145155849036,6.4371273274636485,3.773102022373742,5.565005704566713,5.545936196223355,6.8807618151779835,6.402566370274393,2.8785597426599634,3.80097536444469,2.9278514813910967,3.1225536270447973,7.844194110327621,2.5087016059748923,9.797937173517747,9.94666709468198,10.759605407416887,9.351532450000965,8.243077614848191,6.9428248775802635,7.339188339313224,3.1490479159722966,3.39184173055226,4.113092208052488,3.0105832539881456,2.9823034598524965,2.7474019827635767,2.844969320930663,3.016334642626047
Foix,6.650179603554747,10.833957357254553,6.112835941529975,5.688120108527228,5.7865680337467325,6.719435064941538,4.484729711476647,11.461166018148738,0.0,9.001994150686281,0.9599608617588156,2.4937453338901863,4.445108150699097,10.227198616421106,3.2971998132004767,4.622557073529062,6.023810026148851,6.67357526696672,3.7037360056079085,8.616793926241145,9.247205613390422,8.00718231081225,10.167340996631635,5.159835316958948,3.708630236395428,8.495289456920245,4.943856568658396,9.751210040723521,8.802666992144937,10.31646617879067,3.507250419491207,1.045030422588229,1.6181318446694613,3.9300830626179266,2.852227591003668,9.060481059930392,6.179619414999574,7.190278490797559,5.944235554911266,7.464414503735953,2.8705947685579094,7.429840387919045,5.104549782084159,4.252675227786337,7.712952712032719,7.9385535331275685,2.3911207060377495,2.2986895816021904,3.3262451643237587,7.638024884910735,10.325972792919197,10.105061602592249,9.17069808152991,8.624435710331841,10.526406607888728,10.136067429038315,9.004921712496284,11.11702743201808,6.703886705217814,12.413563264739928,10.39878626793054,8.941066369007343,11.838756830837818,4.8276416311506685,2.3752620062369543,1.8421861767848986,1.5795148417351221,11.331812557822932,10.453461410707117,5.828237934304937,9.0732907946858,6.510175332527318,8.252481995642329,6.482847552280131,7.008241772954747,9.50155712222278,10.421374691372273,9.033353508630036,9.398204514692882,5.891318358760667,11.158801815781395,1.6727888991484186,1.717761841125007,5.080373923520615,4.0531585939697345,6.880887686555229,5.984041945582443,4.6248150699630335,9.979757153969066,8.074579170150816,9.568917184586907,9.146717104430696,9.544819873878092,9.590247247072654,9.405410606516881,9.765701399154661
Troyes,3.5866305164510406,2.0896471747597185,2.8928887390199964,7.16806085890207,6.400362187896025,8.196672305826393,5.750421398453178,2.4620704856901345,9.001994150686281,0.0,8.390759956859053,6.555081754958735,8.160491393334695,4.916716980898419,5.704840353502995,6.037919750486737,6.650518133429763,2.66336401563675,5.487234356596147,11.522528948038229,10.835065371794387,1.8815551929007799,7.297971532097146,4.175426878660643,6.213181942849671,2.706271945466589,5.477848911013291,3.314892287249119,2.7681071775499047,8.765785187473186,7.1705054635743535,8.088339300631022,8.421823121625492,7.564509649846113,7.529630880207408,6.161240347902959,3.5174514035911097,3.9260721717749383,5.313171493395595,3.0618534392531793,8.717627129953264,3.1593016004096115,4.603217644830539,5.230560446115853,6.317526987468158,2.407294612782639,6.835016569411305,7.613159303154748,6.102791724551612,5.154481598767729,5.628067865452249,1.1041541070393328,1.1785300018549794,5.199348125260181,2.333650082137073,1.383333822140894,7.416644929524331,2.589569750530156,2.319147390528876,3.892991902187804,2.7830070106546807,4.253133632083925,3.478366863114177,4.189114545889142,9.446615408620858,9.281307296486625,9.089787241808835,3.943991448754788,3.5336285972178825,4.152745922484015,2.48591932800851,3.3000133901628033,4.176795364395828,4.8327719453177265,4.458633218772744,2.039876096986161,3.6419343186890236,1.556978128482966,2.2214233354918056,5.869157431087354,3.1716460313057553,7.3369888169750235,7.5077298983209175,8.564139167328085,7.0308320121676315,6.5158266819827535,4.904256031742981,5.011939459684471,2.54836392948349,0.9652587084734219,3.1813680791154417,1.819084965381817,2.2023935810005404,1.9819599941799806,1.8948892044960053,2.4438520555820995
