,Bourg-en-Bresse,Laon,Moulins,Digne-les-Bains,Gap,Nice,Privas,Charleville-Mézières,Foix,Troyes,Carcassonne,Rodez,Marseille,Caen,Aurillac,Angoulême,La Rochelle,Bourges,Tulle,Ajaccio,Bastia,Dijon,Saint-Brieuc,Guéret,Périgueux,Besançon,Valence,Évreux,Chartres,Quimper,Nîmes,Toulouse,Auch,Bordeaux,Montpellier,Rennes,Châteauroux,Tours,Grenoble,Lons-le-Saunier,Mont-de-Marsan,Blois,Saint-Étienne,Le Puy-en-Velay,Nantes,Orléans,Cahors,Agen,Mende,Angers,Saint-Lô,Châlons-en-Champagne,Chaumont,Laval,Nancy,Bar-le-Duc,Vannes,Metz,Nevers,Lille,Beauvais,Alençon,Arras,Clermont-Ferrand,Pau,Tarbes,Perpignan,Strasbourg,Colmar,Lyon,Vesoul,Mâcon,Le Mans,Chambéry,Annecy,Paris,Rouen,Melun,Versailles,Niort,Amiens,Albi,Montauban,Toulon,Avignon,La Roche-sur-Yon,Poitiers,Limoges,Épinal,Auxerre,Belfort,Évry,Nanterre,Bobigny,Créteil,Cergy
Bourg-en-Bresse,0.0,32.82626825433586,12.607804537624702,20.75971868609521,16.30849008026694,26.92285031166373,14.281676948114312,33.34770235863179,38.54444098220331,20.78811047335023,33.726722636707436,24.489683612467605,27.088258307621786,44.674569301516335,21.683695051680417,33.19546726000159,41.086874436758926,19.815598651459865,24.096981954779537,46.294315628865334,43.053996085270725,10.464416766008727,54.74426722540136,21.622817300256003,30.785181305620036,10.884588183965919,12.038551438399693,36.646919620110744,31.461139178567535,61.336747163933154,22.766871108742393,34.74585307707878,38.749909280760484,39.92668397975737,25.730720521527015,47.153014473593636,23.338905314570592,30.947322812664407,10.007984043408745,4.84941346374219,43.369647104531936,27.87553626027323,8.96679717284734,13.896518554958448,44.27119495826942,26.300162105515305,29.674802904726068,35.50550236345383,19.3366384331794,38.613213164872434,47.95526519779553,26.18156889772645,17.751780331844014,41.72991117102351,23.925771943715446,23.89103761616394,52.50514472030394,27.774079465735362,15.078140690927123,43.30268671587036,35.87579349507915,38.432603113186715,40.94483789475921,14.39020182449583,45.83053551054983,43.85461481080752,36.12607739021886,27.192239959804045,22.06080014580675,4.818528079785677,14.45338195987406,2.726107068465698,35.9786436798359,7.46820922812546,6.498060641763954,30.586430013760086,39.657343032096335,27.089039378696096,31.046214598220246,36.621956302881905,38.86256367237917,29.29774184855142,32.56536275830774,29.056681191048714,21.181433088727378,42.881385088677554,31.55372390595241,25.849117888675192,19.897713845694348,18.162664511291602,16.927210970290293,28.57462021491203,31.38787579647362,30.588832383751544,29.70446892753119,32.99308038015984
Laon,32.82626825433586,0.0,27.958439420187627,53.57919836336608,49.117839598718355,59.33351496887344,45.375084001904106,6.8557862375511816,62.79361684264739,12.111595024907327,59.68472525087356,49.00178372670992,59.402345988360764,24.465006228690477,43.8140015797147,42.419101443275245,43.49837056144095,24.325961642059138,41.67185947424968,78.49696101691285,74.10483418213836,22.63043178595848,40.182510538390574,33.429218055501046,44.68472348262475,26.24365378243342,43.84766887149266,15.823322573658324,16.69335132621916,49.53529484114779,53.52000529542457,57.20270337171758,58.40516776691258,51.38417676386919,55.44151842584278,35.15160716702957,28.29756041375557,27.12747552951678,42.829761553551954,29.453782373649847,58.990960123581246,23.185253004476113,38.698727281984546,42.119291362658245,38.73588838687995,18.714317625931084,49.59550696222067,53.43945886923167,46.98105361756813,32.2784602079176,28.890924561295215,7.224707854803335,16.404524748511562,30.30667877006086,17.579727529667657,11.91212971627708,43.09533125276702,16.02284324760201,24.131499490037648,10.476539206260991,9.41221451380563,24.008383399978793,8.456130715968659,35.41422557790037,63.715211256431516,63.16215609467443,64.08877019058646,26.809360736783,26.733169080223146,36.17939135355305,23.8613199768049,31.235118554784346,25.513823435650604,39.922904842399916,37.54561763849322,10.161138792894619,15.30552123212948,11.200790939144957,11.51905576499927,39.47954131501187,8.53087622358114,53.302101250746176,53.60949762747944,61.74477204064371,52.81034926185848,41.351126225181936,34.47389541228951,37.749202136967426,21.60049588589701,16.443126305499927,26.815584332824073,11.30287202136072,10.650993045543848,9.399823063151487,10.125399905652749,10.690932402058271
Moulins,12.607804537624702,27.958439420187627,0.0,29.859023539852455,25.876225568419354,37.14114381889997,18.939467843519257,31.03670485077731,35.42999711710774,16.767183131359896,31.88978702568258,21.232578873282772,33.26693439010249,33.573345140500805,16.331390136801527,22.184628776018062,29.04985560285624,7.634747991670361,15.785067800369008,56.28811885693437,54.19304403036213,12.931439395784313,42.375789317689346,10.094562889549026,21.266616202749134,18.219048982630177,18.273220029629226,26.655091075789745,20.969769310666443,48.75008782637828,26.29124382155863,30.24651901050446,32.63232478940404,30.093310071106234,27.749242952911374,34.73305760229787,10.73464591187648,18.471972829207104,20.121280377391592,14.235155952452576,35.38366337852749,15.819269116452656,12.518496528253774,14.632446054348248,31.66893079765602,15.344445041761334,23.26825731068179,28.278503804418158,19.105695989499793,26.043811242339675,36.41462731421153,23.16679927676236,18.340108808495685,29.4267225616403,26.665528883595577,23.49619729551222,39.90405154878452,29.65900849278409,4.084229207550802,37.85226288143192,27.768947459383597,26.754594979026393,34.83646967285688,7.523341630545783,39.02116346476682,37.728181067197596,36.133482707197224,33.44408104362369,29.03341660908747,12.233167901393625,20.396665248132162,9.89167172110095,23.89483640948299,19.128765845633588,19.04710628095057,22.187310524906582,30.1699068614396,18.84736143960387,22.146714376692714,24.458223550662474,31.633122071212224,25.764701185217252,27.03256028109558,36.336014957652814,26.212166296952816,30.44631189459017,19.15263327170508,14.991182659095045,24.689719294249397,11.559843844813042,24.492674987167508,19.99531916645253,22.764687390182313,22.463198141580904,21.413262055628337,24.322944726483357
Digne-les-Bains,20.75971868609521,53.57919836336608,29.859023539852455,0.0,4.471381905132759,7.825737012276356,12.4223987977939,53.739843836860324,32.96834414902381,41.54608073819639,27.427089754643358,24.53945688411074,9.420567400640671,63.42617097324794,26.34138491045456,42.61581978797031,52.173128667121624,37.39561245263984,31.52784454572765,26.442165453237433,25.321436618772854,31.055132610867876,70.95663599459021,34.58605901829197,37.911106295464954,29.319331842308294,11.869688598716504,56.27464579916493,50.71877142174309,75.92900743197747,12.792059121318767,32.48614418835808,38.13768570619155,45.79289702695081,16.45674616305427,63.29216571087374,39.00192754293044,47.34519703070449,10.75175793337867,24.4463460614566,45.14112557923283,45.456175667847795,17.508854598322962,17.929137546010555,58.40873513438312,45.16241426989938,32.12994535292241,37.54762753167302,18.65266881683974,54.10636398093914,66.14486650684516,46.84417889851771,38.07691300516025,58.42265413190928,42.82385831480254,44.10040105602994,67.03311274183294,46.799179277999826,33.598891095802806,64.05551291667635,56.29468504823766,56.480646012401714,61.69753230965575,26.01033981136696,45.066909838304845,42.224168158713354,26.05179193490171,42.8353348527083,37.815186881843786,18.09721563909004,32.8659545046799,22.592988612922056,53.34727342995989,13.863093744427145,16.836555205548994,50.85637795239589,59.586541082762395,47.349970160986295,51.14616888308061,48.58651433479716,59.4962750664342,27.410453384872387,32.65785975062152,9.247397741505102,9.664699409028879,55.524489406679415,44.98308925126811,36.54390936525495,38.025158354962315,38.5609082826787,33.2603544255218,48.75311724476907,51.59421785864704,50.94165901911914,49.99516263386772,53.20354745793616
Gap,16.30849008026694,49.117839598718355,25.876225568419354,4.471381905132759,0.0,11.272086535628901,9.937978165849573,49.278414017049236,33.53894832359606,37.09649924104536,27.983748585252695,23.364406422447903,12.673396957458415,59.43464404145009,24.27464183569018,40.18508831907426,49.56465095676511,33.47746925255945,29.17107236687667,30.478623940643573,28.569096955860957,26.584029907909237,67.48479019347974,31.347704764154283,35.817391053881394,24.94202983183687,8.585654336186877,52.096073040703935,46.59839499674249,72.7962860067823,13.296235050667532,32.240222881989105,37.68307301316728,44.12127470698867,17.165817443817684,59.80451178081589,35.40639185214637,43.714668743463676,6.306488351547401,19.98349364154343,44.31643410661248,41.60713583311429,13.825782688760558,15.17604694046553,55.27493810129744,41.092487281905484,30.806858724962673,36.491176013607976,17.116349612757286,50.688980109754624,62.27032276597046,42.37314424000398,33.613154707131024,54.80748651792699,38.48098364081408,39.64682279714716,63.87467499506712,42.454673020622664,29.50213153691221,59.59364873613159,51.94957516066618,52.603793417319885,57.252869025068996,22.673566922561413,44.79762822623361,42.09452536085661,27.567182835707314,38.86854818833763,33.78323021780798,13.874538112932559,28.51834609611402,18.208853460515012,49.582091658556884,9.415499005162077,12.478703592927651,46.539828105764705,55.35150918234566,43.03114284983347,46.86512185063821,45.76926927331486,55.09717928319987,26.862837319426355,31.87569546243523,13.397188119215121,10.212274122084574,52.652118950118826,41.85165618454814,33.74537714581224,33.736655236229595,34.202272043182596,29.107215108478595,44.452876852309714,47.291854388028234,46.60741245433496,45.673298715203416,48.90211176839647
Nice,26.92285031166373,59.33351496887344,37.14114381889997,7.825737012276356,11.272086535628901,0.0,20.245381211354104,58.805750201525825,38.94584563640115,47.50791268456977,33.54300633298331,31.984689038986076,13.354354165338618,70.6846351955815,34.09319074980102,50.4119926615218,59.988232318473,44.748121987902685,39.32387486928279,19.381542435674984,17.50484324389002,36.71072502934866,78.64845204500963,42.34782005206788,45.638954100663085,33.92138455925678,19.548727783602704,63.22865489452144,57.787359729223745,83.7300434488496,19.589827673043533,39.23064999029013,44.98263772143057,53.34794906661886,22.852749723582075,70.97458405865555,46.61613362709322,54.94185577107875,17.238319199081054,29.880534739211942,52.20864779298833,52.87892414801794,25.039745277807164,25.747542383141113,66.20636139657965,52.317219519156566,39.580053847610166,44.81431419860833,26.309198378643817,61.817776859368074,73.54169411795648,52.36556929987195,43.31247932471028,66.032533496624,46.9924035741718,49.11460045669809,74.82774983342482,50.92989490705768,40.72415171522086,69.76423668608473,62.794460092949876,63.8754052100692,67.62589967668345,33.73026151227274,51.69835741547561,48.75740376058721,31.09677088576696,45.47102561504056,40.76937756680936,25.05906746698482,37.22219911629973,29.098830536806762,60.8464187393145,19.52083962853492,21.80924172711458,57.46659342667043,66.4111690031618,53.96063137817268,57.862489980279214,56.412200262134924,65.7486295262039,34.45333221508895,39.79209482053268,10.529201419763114,16.696540891882773,63.34946882222318,52.776829818560415,44.36925988405843,41.985029519141314,45.05974101507127,36.7537670292253,55.418442947009915,58.24746935653197,57.49214848147054,56.589868962846914,59.85664743344054
Privas,14.281676948114312,45.375084001904106,18.939467843519257,12.4223987977939,9.937978165849573,20.245381211354104,0.0,46.88720552405117,25.993493407718642,33.329442425434614,20.685866254308493,13.901340729655397,14.347148843725032,52.046233991041774,14.337718765453356,30.337420226736167,39.81627432315145,26.075054028941505,19.28081137464257,38.36824120257827,37.7436688190522,24.251766747188253,58.72901055241473,22.275776257051433,25.8825403330625,25.056734561951274,2.671885216608758,45.57087041091691,39.84208630347457,63.52482445717283,8.510071639942376,23.549226801679055,28.636962255467466,34.21929685788666,11.520576278353397,51.089765480200434,27.019984444098142,35.35467990219069,8.526220958574674,19.08814191640794,34.85771225828929,33.86187105157424,6.700195476865541,5.513290377497451,46.01138140743739,34.17570572025875,21.104056061168418,26.91704335536745,7.556283707260603,41.86240864570577,54.48056914910019,39.33183571902941,31.618259547858127,46.367209963402246,38.19832176471847,37.74183036043661,54.63842617335872,42.02258034460025,22.962867494237177,55.7099043476208,46.523290141602324,44.86582426958447,52.96989299355956,13.865667102934834,35.85820877498641,33.34888528567774,22.154787155275773,41.009179140540596,35.80944893819001,9.703275309488975,28.682436407169643,14.710153156530914,41.53384559233986,11.599275652346515,14.755085579883959,40.95507395837462,49.10909317403813,37.523976726273645,41.01470655804283,36.171609359177275,50.169143667311104,17.96615577497265,22.591758167627336,17.443823735369577,7.44572121827225,43.10498073788022,32.595904435727384,24.1264520444117,34.13963536779597,29.267977750019263,30.711935143915117,38.77753983139794,41.58782873773394,41.1647403707608,40.14435105637093,43.168592086535924
Charleville-Mézières,33.34770235863179,6.8557862375511816,31.03670485077731,53.739843836860324,49.278414017049236,58.805750201525825,46.88720552405117,0.0,66.42891824119008,14.270160535060016,62.897841453048365,52.26308524661226,60.41277991712972,31.24053653250696,47.31911652181693,47.7948779864028,49.645769689105265,28.840402557214322,45.83325148648692,77.58048658177191,72.53032704772735,22.88610665066317,47.0151531903139,37.9111694397265,49.53355428253778,24.921212218997688,45.05180174846445,22.678714571599777,23.22100973753517,56.38515100847176,55.28747691235856,61.07871533797745,62.79464081890386,56.76776687028176,57.59365552856811,41.994943794420834,33.31920800973324,33.22839043089508,43.1319541221969,29.29495097240985,64.00194944646034,29.06993251119384,40.38040038235372,44.32364394122612,45.376297872167,24.462072522540677,53.70871630979543,57.98397487251133,49.50201328776439,38.831274740783776,35.658414361747546,7.8708306224625195,15.668245634682412,37.095010232106176,13.435702772205458,9.691983370054002,49.92729453766962,10.720280839167982,27.610773201261452,12.708837889652566,16.21105626489506,30.81220204285314,12.55914500882936,38.550063733876115,68.48451140231371,67.69973482475511,66.87355493483659,21.58023388508974,22.5639121323301,37.30958998997931,21.868899321678207,32.254773063668665,32.14424619331056,39.88089548077159,37.109274682110374,16.684132268457148,22.030453212321422,16.969827186142798,18.098320822351642,45.46494906345889,14.540434508230476,56.78884385770885,57.65088248077675,62.362672941388276,54.201482080205594,47.77687785566011,40.240612990455205,42.537935614659446,18.25188172097543,19.659114670280896,23.839482437872217,17.44934054011529,17.28543085330507,15.92394189209769,16.489442184114118,17.482675588660566
Foix,38.54444098220331,62.79361684264739,35.42999711710774,32.96834414902381,33.53894832359606,38.94584563640115,25.993493407718642,66.42891824119008,0.0,52.17555809737768,5.5639331547540944,14.453747955227517,25.76384684145196,59.27684318077673,19.11057011730996,26.792340798174443,34.91400291155874,38.6800422473391,21.466853888503437,49.94293759649367,53.596803735210884,46.4096286734678,58.929908416476955,29.906405497094056,21.4952208501479,49.238697692309735,28.654592671944062,56.518013396033524,51.02025788647205,59.794237972270714,20.328023431371037,6.056996329321375,9.378692171704197,22.7787614309335,16.531511117457256,52.51454822335655,35.81707412933753,41.67485413266265,34.4527892762657,43.26374646365358,16.637967278561643,43.063354888378775,29.58597053695978,24.64850562024961,44.70427391894163,46.01185627800738,13.858935612194795,13.323204814966292,19.278916972420504,44.26999223294261,59.84933830775966,58.56893704862467,53.15336608054735,49.98722937708336,61.01105269932305,58.74864681870607,52.19252624562846,64.43429099597678,38.855727343442446,71.94901268243262,60.27136520892541,51.82242067476656,68.61743459153598,27.98101089414927,13.767018588149385,10.677311080645271,9.154868022696768,65.67918558514171,60.58826233645844,33.78046706723141,52.588793445998895,37.73297622732833,47.83138564674294,37.57458441301564,40.61976931604571,55.07102508040323,60.402287711193694,52.357316936019686,54.47199336715994,34.146081207376824,64.67641532426896,9.695484459464232,9.95614763116054,29.445847260725486,23.492107210648577,39.881625031274105,34.683507116595834,26.80542814550574,57.8426724644047,46.80026087019412,55.46144400186571,53.014372337280314,55.321775988997416,55.5850730440331,54.513759875371846,56.602005309500406
Troyes,20.78811047335023,12.111595024907327,16.767183131359896,41.54608073819639,37.09649924104536,47.50791268456977,33.329442425434614,14.270160535060016,52.17555809737768,0.0,48.63284470995507,37.993253851740825,47.29820811576789,28.49729162128723,33.06525468890336,34.99578287382113,38.546403101358905,15.436857834630604,31.804010330831268,66.78457778282957,62.80003889492027,10.905493898052919,42.299043000035056,24.20077418871708,36.01160254075669,15.68555219592435,31.74961228823303,19.213115696895894,16.043949201079247,50.80649094659458,41.56024966687695,46.8800145864574,48.81288681294135,43.84389793050807,43.641740581682136,35.71054905644555,20.387148335214068,22.75551430760754,30.795141975720867,17.746502533911425,50.52736684520911,18.311312075974104,26.680249469437804,30.316328345687484,36.61638641936544,13.952679575688174,39.61575603630792,44.125871321084915,35.37178083550115,29.87537534645776,32.62028134816123,6.399677204399973,6.83075989075146,30.13542173400801,13.525835876066473,8.01780283312862,42.98687401152302,15.009146274072782,13.441778275505364,22.56378106508051,16.130308633754527,24.651162531558427,20.16061433860977,24.280107907973466,54.752582908366485,53.794457090436474,52.68440685352401,22.859374436982748,20.480911349474848,24.069315366717348,14.408388425137323,19.12687760938361,24.20870593203822,28.01074619506154,25.84223813600682,11.82312185813179,21.10865131112158,9.02424523268727,12.875369652510505,34.017636470582296,18.38286039744816,42.525187183187235,43.51480249066803,49.637750613833575,40.75070234252359,37.76573144877204,28.425067959982314,29.049201108331186,14.770317335286306,5.594639474311952,18.4392093865531,10.543416459353011,12.765073195479133,11.487440126267167,10.982777829258845,14.164566514153847
