,Bourg-en-Bresse,Laon,Moulins,Digne-les-Bains,Gap,Nice,Privas,Charleville-Mézières,Foix,Troyes,Carcassonne,Rodez,Marseille,Caen,Aurillac,Angoulême,La Rochelle,Bourges,Tulle,Ajaccio,Bastia,Dijon,Saint-Brieuc,Guéret,Périgueux,Besançon,Valence,Évreux,Chartres,Quimper,Nîmes,Toulouse,Auch,Bordeaux,Montpellier,Rennes,Châteauroux,Tours,Grenoble,Lons-le-Saunier,Mont-de-Marsan,Blois,Saint-Étienne,Le Puy-en-Velay,Nantes,Orléans,Cahors,Agen,Mende,Angers,Saint-Lô,Châlons-en-Champagne,Chaumont,Laval,Nancy,Bar-le-Duc,Vannes,Metz,Nevers,Lille,Beauvais,Alençon,Arras,Clermont-Ferrand,Pau,Tarbes,Perpignan,Strasbourg,Colmar,Lyon,Vesoul,Mâcon,Le Mans,Chambéry,Annecy,Paris,Rouen,Melun,Versailles,Niort,Amiens,Albi,Montauban,Toulon,Avignon,La Roche-sur-Yon,Poitiers,Limoges,Épinal,Auxerre,Belfort,Évry,Nanterre,Bobigny,Créteil,Cergy
Bourg-en-Bresse,0.0,250.01145146398812,96.02357136070324,158.11018664935196,124.20873565532497,205.0498348400497,108.77211979970396,253.9827983209563,293.562203329519,158.3264242029565,256.8694928767244,186.51834861058728,206.3096153558493,340.25049171178165,165.14737621011986,252.82334523669437,312.9258871116404,150.9195788596823,183.52745392008467,352.5868050315419,327.9078806401222,79.69909963945932,416.9433333789691,164.68371902930485,234.46612335483746,82.89920954087293,91.6880254349546,279.1102995601033,239.61435426657977,467.1529845464257,173.39706259295548,264.631394980681,295.12709115515025,304.0896435922049,195.97033494513937,359.12682788389935,177.75378998511852,235.7010256350675,76.22281635959523,36.93410683863067,330.3119421944282,212.30568235082325,68.29292805375889,105.83867612677851,337.1783117046871,200.30731640869823,226.00925845838086,270.4170365046798,147.27172164856017,294.08598608411774,365.2369305139557,199.40408672132293,135.20112406465773,317.8233840196819,182.22348409202948,181.95894047776622,399.8897267013004,211.53296702824176,114.8381476173122,329.80195842685015,273.2372481280239,292.7104236588954,311.84410828283353,109.59866705307654,349.0545625103445,334.0055536405938,275.14346053746146,207.101560501313,168.01948434030714,36.698877551763125,110.07985965246733,20.762578912494057,274.0205757903444,56.879381308101486,49.490534841219315,232.9523936011764,302.0382888435722,206.31556415001234,236.45420533411587,278.9201739227515,295.985089625892,223.1374857300776,248.02434280906795,221.3015193507693,161.32204823192495,326.59324062492027,240.31949814396313,196.87207307086496,151.54498467001525,138.33050049244324,128.92103821031913,217.6300461450948,239.0563656352024,232.9706905334949,226.23520084583737,251.28192611483536
Laon,250.01145146398812,0.0,212.9370894660201,408.06993494707564,374.0913306290586,451.89596584342047,345.5857523530114,52.215044820107074,478.2487965999664,92.24434005900564,454.57085388404715,373.2074258005554,452.42019671104265,186.3304006998271,333.6962351163105,323.07239554196354,331.2923258935419,185.27140920397474,317.38125063863714,597.848619504847,564.3972994684653,172.3579133097754,306.03807003993177,254.60363823895972,340.32782799434887,199.87693767164419,333.95265197183164,120.5136024896974,127.13991619547198,377.2707535921683,407.6191086539984,435.6672767925147,444.8254871150286,391.3522096231642,422.2537385492048,267.72169961659245,215.51990305807783,206.60830159372395,326.20006541394423,224.32592170655838,449.2869993470168,176.5835431337287,294.7372787736861,320.78898175767847,295.02030521156576,142.532001401016,377.7293411985487,407.0056508961229,357.8171394698273,245.83923536718612,220.03908356996814,55.02482594694807,124.94015497514151,230.82175194723632,133.89073537023538,90.72517221022727,328.2226975770395,122.03319201182184,183.79034640070338,79.79142657894793,71.68531597484107,182.85266953363765,64.40358976196731,269.721854174956,485.26784473745425,481.05566555646317,488.1129446011307,204.1854754458558,203.60518448806602,275.54951038915965,181.73260496826902,237.89293580454157,194.31840318006255,304.0608609231333,285.9549641519713,77.38927368946577,116.56992348352446,85.30747322673315,87.73144205697814,300.68411525866577,64.97286655894654,405.95950768846,408.3007002275084,470.2605839503374,402.2142257834455,314.9384818014698,262.56011078888923,287.5055045778505,164.51371465477828,125.23415218544446,204.232875603178,86.08494324964406,81.12010205416922,71.59094019810692,77.11707914685681,81.42428821433045
Moulins,96.02357136070324,212.9370894660201,0.0,227.41231981219408,197.07853060378187,282.8744103122172,144.24679067467088,236.38177718776544,269.84197338492845,127.7022340509292,242.87902235476517,161.7115847986125,253.36765325215487,255.7013390630948,124.38314708486858,168.96258805627215,221.2495343003252,58.14777397693247,120.22224645369036,428.7016174536029,412.7451068244119,98.48843943543908,322.742521695207,76.88221823926975,161.9708199354825,138.75993594974727,139.17251352276358,203.01052672603947,159.70997439016637,371.2904592760058,200.23939296704165,230.3635631366811,248.53433908575863,229.1966930855552,211.34380715870313,264.53394207505795,81.75721908400956,140.68625475950725,153.24771227387612,108.41780655401834,269.48908632678194,120.48273054557072,95.34338362577131,111.4436477570949,241.1969369679656,116.86637503467765,177.21572059939297,215.37476409426037,145.5128176177509,198.35489675228112,277.34111470753913,176.44299583743262,139.68195189576073,224.1198287439214,203.09002316649438,178.95175730062866,303.9172704526863,225.8889650450681,31.106309872932854,288.2904359051915,211.49388063721528,203.7683684362753,265.32154917249096,57.29928075707346,297.1930174960204,287.3454038888608,275.1998609187648,254.71683774140828,221.1243316223694,93.17026350158204,155.34509875447242,75.3369583541097,181.98787285058876,145.68852227514256,145.0665866309768,168.98301279437783,229.7800696235264,143.5452898048919,168.67382437673132,186.27874246181312,240.92421051596907,196.2291385040783,205.8854080000937,276.74238721241323,199.63712265865024,231.88522586591466,145.87030138535425,114.17585778325781,188.04186053583476,88.04209226423474,186.54113152105396,152.2883663948063,173.38043095384973,171.08422828897113,163.0877042016269,185.24843176906802
Digne-les-Bains,158.11018664935196,408.06993494707564,227.41231981219408,0.0,34.05494256887991,59.60238471384081,94.61148401145877,409.2934431353422,251.09353001077167,316.4232945249435,208.89022370326074,186.8974318432958,71.74893323847161,483.0664558933007,200.62127756981556,324.57064196174383,397.3610257620917,284.81249453124684,240.12239573918714,201.3888424232206,192.85314654603167,236.52212670942828,540.4199898252577,263.41437133781426,288.73859916388153,223.30191945840863,90.40193213551449,428.59900393986146,386.2843489054031,578.2905692845924,97.42689127362577,247.42099827101197,290.4642734595008,348.767900260387,125.33788375582921,482.0458449030288,297.0465128521998,360.59052883452443,81.887547676346,186.18828111868697,343.8038780205081,346.2033627663284,133.350952891834,136.55191222607266,444.852656902112,343.96601696399307,244.70811640557812,285.97027190207183,142.0624716901596,412.0849341602117,503.77258706779156,356.7746741212417,290.0014163635769,444.9586667825979,326.1551051620921,335.8775110450066,510.53764877831304,356.4319479741866,255.89590218902194,487.85965052403424,428.7516268852449,430.1679429345161,469.9007966720649,198.09997161198714,343.23863603299,321.5877444986479,198.4156793095814,326.2425127795944,288.0080576464236,137.83202873777972,250.31370991672486,172.07273858428655,406.30354807719715,105.58410605712902,128.2305856998192,387.3323878781208,453.82306354156685,360.62688195332964,389.5394938043942,370.044650713961,453.1355794332537,208.76351777003353,248.72881847853023,70.43003833715156,73.60829164293762,422.88566220216586,342.6002416085842,278.32575277176187,289.60724255387834,293.6876215970372,253.3175389204661,371.3135319348627,392.9519247831583,387.9819056091245,380.7731990559248,405.20890221004225
Gap,124.20873565532497,374.0913306290586,197.07853060378187,34.05494256887991,0.0,85.85047480771816,75.68963753695317,375.31429764693115,255.43936599769887,282.53438824138817,213.12984914994868,177.94801154405263,96.52313640296163,452.6661851697296,184.8805472522066,306.0577029353097,377.4943356642443,254.97112904595554,222.1727455188441,232.13132089782601,217.58797989493587,202.46931060037807,513.9777149596055,238.75041498558394,272.79244340700717,189.9635082611613,65.39006766553925,396.77415463635515,354.9027345649935,554.4311337716347,101.26679640426885,245.54801221378298,287.00185189039854,336.0364889627251,130.73831303160213,455.483172152596,269.66219094638086,332.93969628659227,48.03148180582,152.19830082220022,337.5228621437626,316.88830238942046,105.29993756406172,115.5838212761284,420.9850293434479,312.96863566749397,234.6312229339872,277.92412497527675,130.36155609571279,386.0574522903646,474.26328381980966,322.7223762523492,256.0045367174324,417.4248242070583,293.07889947347763,301.9581646214399,486.48235259571175,323.3433158188159,224.69415864383785,453.8771968570436,395.6583973610883,400.6410549892098,436.04934848311484,172.68643917289336,341.1877331961255,320.60035891424667,209.95720074327915,296.0306689012909,257.2998659626996,105.67126866601765,217.20145115490155,138.68228480577028,377.6271675516746,71.71033132063012,95.04031263878571,354.4566773614259,421.5682100743401,327.733825809459,356.9341798505258,348.5879465435774,419.6311824858409,204.59276383887118,242.77169817909075,102.03567524854601,77.77873062599042,401.00911195213433,318.7506184925122,257.01156936441737,256.94514154943084,260.49137266015026,221.6863958145488,338.5620374965379,360.1842605551975,354.9714133329772,347.8570154994103,372.44830414910456
Nice,205.0498348400497,451.89596584342047,282.8744103122172,59.60238471384081,85.85047480771816,0.0,154.19288914827638,447.87640338527524,296.6193817892468,361.8298039322474,255.47027261215476,243.60181514708108,101.70944325355855,538.3483771145881,259.660587623161,383.9478602577447,456.88242466364966,340.81068374275054,299.4985283457876,147.61371954955465,133.32040161087974,279.59625437078205,599.002405598496,322.52950215121786,347.5954400177055,258.35207717245544,148.88703673489752,481.56213377092945,440.1201370267406,637.7048262567793,149.20006174689397,298.7885089451989,342.59680266666163,406.30869386167876,174.05113137041843,540.5566858856558,355.0378355361611,418.4482074241917,131.29050096008189,227.57615342657044,397.63154655793323,402.7365058882039,190.70772872168402,196.09845362149582,504.2409444979149,398.4584506286901,301.44963889268104,341.31481691274445,200.37613847958306,470.81660331116547,560.1083116452747,398.8266922686159,329.8765409024066,502.9170363023157,357.90358301871174,374.06666067292144,569.9031702504811,387.8923077690995,310.1633180194707,531.3384372243239,478.2552189636185,486.48791405981535,515.0524331224424,256.8964456637357,393.7450725621201,371.3461789001866,236.8392521731977,346.316462946436,310.5077671877931,190.8548903949007,283.4917437353998,221.62253723283806,463.418544792776,148.67463494517446,166.10356490353388,437.67711644758907,505.8008003607787,410.9750053903323,440.692344107049,429.64664635465033,500.75476664768496,262.4034973493408,303.06458552625685,80.19251257303537,127.16420856812066,482.48227690714435,401.95893497163945,337.9251938736945,319.76641659389486,343.1840368355415,279.924070885888,422.0779910682078,443.62442435128867,437.87174887712126,430.9998068601506,455.88024775329245
Privas,108.77211979970396,345.5857523530114,144.24679067467088,94.61148401145877,75.68963753695317,154.19288914827638,0.0,357.10237354226246,197.97166601856935,253.84372700261784,157.54771169721653,105.87540277769895,109.27076690527538,396.3945704250437,109.19894553533305,231.05588505502556,303.2487414741263,198.59284808947194,146.8465315590984,292.22023042201755,287.4633617173621,184.70632598421403,447.2919388061628,169.65678557680295,197.12662511948662,190.8371225216522,20.349614399477005,347.07690096347665,303.4453307000396,483.81782063927,64.81441467180751,179.3556406694133,218.1048556460021,260.6210370679986,87.74302259204508,389.1099141606673,205.78962789993898,269.26834235030276,64.937411125749,145.37912227173118,265.4833369692535,257.89881034595714,51.03003433971946,41.99032673896803,350.43192117998836,260.2890382094966,160.73272925055005,205.00560789469688,57.55017422903009,318.8325113960857,414.93495587186067,299.55915977622055,240.8110145532911,353.14198292260994,290.9260898586698,287.44935964733156,416.1372266707489,320.0524112218532,174.88981042647669,424.2978196289164,354.33072090507636,341.70712795797147,403.4293428849545,105.60370527232641,273.10331936829067,253.99180773090328,168.73530827966118,312.3341441322384,272.7319546589011,73.90209344796871,218.45119591785598,112.03548065309221,316.33010919693834,88.34241282942693,112.37769501304479,311.92206819901827,374.02471610216566,285.79014261840246,312.3762420539965,275.49024115715014,382.09827354692,136.83385049215065,172.0633672658139,132.85566477955263,56.70810810883386,328.29618999355,248.25695435792477,183.75190404114701,260.01431916119765,222.91079637818763,233.90826587740116,295.3375309777976,316.74125567359533,313.5189297026707,305.74743976137165,328.78066679986176
Charleville-Mézières,253.9827983209563,52.215044820107074,236.38177718776544,409.2934431353422,375.31429764693115,447.87640338527524,357.10237354226246,0.0,505.93598212214886,108.68440848506245,479.0425921640167,398.04615313730653,460.1158644361312,237.93420021095946,360.3918944411362,364.0153893017205,378.11215222067256,219.6542978406471,349.0752479285258,590.8685661529414,552.4055369274246,174.30518442607828,358.0768486640135,288.7390800832586,377.2574971482413,189.80495714101525,343.1235697866357,172.7256447017624,176.85587359366525,429.4406338064998,421.08052744663564,465.1877623398908,478.25659540877894,432.35471305008343,438.6448469332896,319.8419257054893,253.76577963727738,253.07409471811891,328.50162470552095,223.11622985689687,487.4517003778161,221.40244406623282,307.54523883340784,337.57777369211794,345.59499743271294,186.30805700461946,409.0563696379321,441.61759744387587,377.01727459772735,295.746786839163,271.5816449927196,59.945826705085274,119.33250537864097,282.5230476502724,102.3290105805472,73.81609176949256,380.2563020054554,81.64781180535056,210.28919372151225,96.79306166008939,123.46666014999917,234.6719187161297,95.65297061719443,293.60502733546593,521.5917924582533,515.6147764383329,509.32242447652857,164.35939518744976,171.8512862687222,284.1573301798916,166.5579291246553,245.65882931954067,244.81703447798566,303.74090918830933,282.63168856620763,127.06970200011008,167.7883560003642,129.24561186878788,137.840446035452,346.27018270924736,110.74286934335267,432.51523961918065,439.080698894094,474.9666413023073,412.8093727066176,363.87829669105116,306.4805899834643,323.9774604564733,139.00999667872307,149.72776543263367,181.56628588616502,132.89768187242572,131.64931277999867,121.27993942612395,125.5869032185027,133.1515682967629
Foix,293.562203329519,478.2487965999664,269.84197338492845,251.09353001077167,255.43936599769887,296.6193817892468,197.97166601856935,505.93598212214886,0.0,397.3795287908199,42.37603230105027,110.08264714658142,196.22263165038558,451.4643421239851,145.54993995401523,204.05584817533017,265.9120578893018,294.5949697973454,163.4958703635527,380.375442683026,408.20402099470004,353.4650523373406,448.8220172848086,227.77319031417733,163.71191884032154,375.01181014155884,218.23913243857194,430.4525404326787,388.58053036775004,455.4049247634459,154.8223088928101,46.13130045952349,71.43000308516636,173.48762167467447,125.9073086634704,399.96134566903726,272.79002964603364,317.404058558522,262.39936221822546,329.5053816456681,126.71810016583608,327.9791591641044,225.33269330543206,187.72796891778617,340.47672804361633,350.4355378896168,105.5524368869774,101.47220354545628,146.83210341132585,337.169151507057,455.82457998422854,446.07278685403094,404.8267107620156,380.7127777790336,464.67243009533604,447.4414925537528,397.50876161557966,490.7445004452901,295.93302277178253,547.978129977047,459.0388216183918,394.6899632602757,522.6041621620892,213.10899834469953,104.852378372321,81.32054549490417,69.72531341613436,500.2258676462566,461.4523737835496,257.27882125299,400.5268121952126,287.38192479141964,364.2934389746371,286.17558092407796,309.3683207044279,419.43198682484126,460.0359536885919,398.76384060821,414.8696409943452,260.0634119699515,492.58856795494603,73.8427567695582,75.82801983370175,224.26548629293228,178.92060639290298,303.7464655914508,264.15655562481857,204.15552404091318,440.5414099262334,356.44018559755256,422.40549573781215,403.7681064994364,421.3417561025376,423.3470793511517,415.1877431087779,431.09223971358375
Troyes,158.3264242029565,92.24434005900564,127.7022340509292,316.4232945249435,282.53438824138817,361.8298039322474,253.84372700261784,108.68440848506245,397.3795287908199,0.0,370.3975121556076,289.3642514500209,360.2326518216702,217.04109604628934,251.83162014485947,266.53491050561126,293.5771472230568,117.57020942426088,242.22572982040202,508.64475661772553,478.2977082398055,83.05843165781558,322.15800632713035,184.31795641815606,274.2715970941845,119.46431562470437,241.81142340331522,146.3309476821815,122.19393919217421,386.95243842322253,316.53120793129443,357.04760591740546,371.7687489694749,333.9239317279819,332.3842607604357,271.9787132976543,155.27261603442415,173.31056691474697,234.54198581870844,135.1609272956727,384.8265732110919,139.46263019768168,203.2021381045769,230.89524505311516,278.8777525713006,106.26640973937045,301.72155393180793,336.0714976988116,269.39858649274413,227.53685845520326,248.44261381859135,48.74122682409079,52.02443913688528,229.51742396742281,103.01548240081789,61.06519657767655,327.3966654464573,114.31267228252793,102.37528283381144,171.85028803422733,122.85166997483489,187.74820448789671,153.54728762188068,184.92217795645735,417.0066672904548,409.7093886424573,401.25502310878835,174.101586518107,155.98673398128759,183.3167396291731,109.73717985594367,145.6741410886517,184.37836616820724,213.33546836813304,196.8196754928946,90.04727048730858,160.76772759704892,68.73046401468781,98.06140101028251,259.0851510592046,140.00755658294563,323.880365842137,331.41747476652944,378.05107733294733,310.36553292912185,287.63139513610565,216.4910261372463,221.24454953858142,112.49370312115443,42.609897797496494,140.4367218004325,80.30077716933225,97.22136104289736,87.49065100308397,83.6470415986694,107.8801832155884
